0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
The Guardian ,0,6,2,10,5,8,0,4,7,6,6,0,2,9,1,8,3,8,7,4,
NBC News,2,5,3,5,16,2,6,6,4,7,26,2,4,25,4,7,12,1,7,7,
Forbes,11,6,4,1,2,3,10,5,6,3,5,14,3,5,4,3,4,12,6,3,
Daily Mail Online,3,5,1,7,5,5,6,2,2,5,10,3,13,9,4,3,3,0,6,1,
ABC News,5,5,1,6,19,1,6,7,5,3,16,2,7,14,7,10,9,2,8,3,
Business Insider,8,4,5,6,7,4,3,7,3,5,7,5,5,13,21,8,4,6,6,5,
Washington Post,9,3,8,5,6,0,6,9,5,5,3,1,2,6,4,9,4,3,8,1,
CNN,1,5,4,7,10,0,4,6,9,4,8,4,5,14,6,10,23,2,6,3,
The Independent,2,13,1,6,7,3,8,5,8,9,2,4,7,2,7,8,2,9,4,6,
Mashable,4,3,9,6,3,2,5,7,11,4,4,9,2,3,6,7,8,5,14,2,
Wall Street Journal,4,2,8,7,10,2,6,3,2,4,1,2,5,4,5,6,5,2,4,4,

0.14,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
